AccountKey,AccountNumber,AccountName,Category_L1,Subcategory_L2,DetailGroup_L3,Region,Department,CashFlowSection,CashFlowLine,NormalBalance
1010-GEN,101000,Petty Cash,Assets,Current Assets,Cash & Cash Equivalents,Global,Corporate/HQ,Cash,Cash accounts,Debit
1020-US,102001,Operating Bank Account - USD (United States),Assets,Current Assets,Cash & Cash Equivalents,United States,Finance & Legal,Cash,Cash accounts,Debit
1020-CA,102002,Operating Bank Account - USD (Canada),Assets,Current Assets,Cash & Cash Equivalents,Canada,Finance & Legal,Cash,Cash accounts,Debit
1020-UK,102003,Operating Bank Account - USD (United Kingdom),Assets,Current Assets,Cash & Cash Equivalents,United Kingdom,Finance & Legal,Cash,Cash accounts,Debit
1020-EU,102004,Operating Bank Account - USD (Europe (Eurozone)),Assets,Current Assets,Cash & Cash Equivalents,Europe (Eurozone),Finance & Legal,Cash,Cash accounts,Debit
1020-APAC,102005,Operating Bank Account - USD (Asia Pacific),Assets,Current Assets,Cash & Cash Equivalents,Asia Pacific,Finance & Legal,Cash,Cash accounts,Debit
1030-GEN,103000,Savings Account - EUR,Assets,Current Assets,Cash & Cash Equivalents,Global,Corporate/HQ,Cash,Cash accounts,Debit
1040-GEN,104000,Short-term Investments,Assets,Current Assets,Marketable Securities,Global,Corporate/HQ,Operating,Working capital movement,Debit
1100-GEN,110000,Accounts Receivable - Trade,Assets,Current Assets,Receivables,Global,Corporate/HQ,Operating,Working capital movement,Debit
1110-GEN,111000,Allowance for Doubtful Accounts,Assets,Current Assets,Receivables,Global,Corporate/HQ,Operating,Working capital movement,Debit
1150-GEN,115000,Other Receivables,Assets,Current Assets,Receivables,Global,Corporate/HQ,Operating,Working capital movement,Debit
1200-GEN,120000,Inventory - Raw Materials,Assets,Current Assets,Inventory,Global,Corporate/HQ,Operating,Inventory and supplier payments,Debit
1210-GEN,121000,Inventory - Work in Progress,Assets,Current Assets,Inventory,Global,Corporate/HQ,Operating,Inventory and supplier payments,Debit
1220-GEN,122000,Inventory - Finished Goods,Assets,Current Assets,Inventory,Global,Corporate/HQ,Operating,Inventory and supplier payments,Debit
1230-GEN,123000,Inventory Provision - Obsolescence,Assets,Current Assets,Inventory,Global,Corporate/HQ,Operating,Inventory and supplier payments,Debit
1300-GEN,130000,Prepaid Expenses - Rent,Assets,Current Assets,Prepaid Expenses,Global,Corporate/HQ,Operating,Working capital movement,Debit
1310-GEN,131000,Prepaid Expenses - Insurance,Assets,Current Assets,Prepaid Expenses,Global,Corporate/HQ,Operating,Working capital movement,Debit
1320-GEN,132000,Prepaid Software Subscriptions,Assets,Current Assets,Prepaid Expenses,Global,Corporate/HQ,Operating,Working capital movement,Debit
1400-GEN,140000,Advance Payments to Suppliers,Assets,Current Assets,Prepaid Expenses,Global,Corporate/HQ,Operating,Working capital movement,Debit
1510-GEN,151000,Land,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,Investing,Capital expenditure,Debit
1520-GEN,152000,Buildings & Improvements,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,Investing,Capital expenditure,Debit
1525-GEN,152500,Accumulated Depreciation - Buildings,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,NonCash,Capital expenditure,Debit
1530-GEN,153000,Machinery & Production Equipment,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,Investing,Capital expenditure,Debit
1535-GEN,153500,Accumulated Depreciation - Machinery,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,NonCash,Capital expenditure,Debit
1540-GEN,154000,Office Equipment & Furniture,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,Investing,Capital expenditure,Debit
1545-GEN,154500,Accumulated Depreciation - Office Equipment,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,NonCash,Capital expenditure,Debit
1550-GEN,155000,Computer Hardware & IT Infrastructure,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,Investing,Capital expenditure,Debit
1555-GEN,155500,Accumulated Depreciation - IT Hardware,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,NonCash,Capital expenditure,Debit
1560-GEN,156000,Company Vehicles,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,Investing,Capital expenditure,Debit
1565-GEN,156500,Accumulated Depreciation - Vehicles,Assets,Non-Current Assets,"Property, Plant & Equipment",Global,Corporate/HQ,NonCash,Capital expenditure,Debit
1710-GEN,171000,Goodwill,Assets,Non-Current Assets,Intangible Assets,Global,Corporate/HQ,Operating,Working capital movement,Debit
1720-GEN,172000,Patents & Trademarks,Assets,Non-Current Assets,Intangible Assets,Global,Corporate/HQ,Operating,Working capital movement,Debit
1725-GEN,172500,Accumulated Amortization - Intangibles,Assets,Non-Current Assets,Intangible Assets,Global,Corporate/HQ,NonCash,Working capital movement,Debit
1810-GEN,181000,Security Deposits for Leases,Assets,Non-Current Assets,Other Long-term Assets,Global,Corporate/HQ,Operating,Working capital movement,Debit
2010-GEN,201000,Accounts Payable - Trade,Liabilities,Current Liabilities,Payables,Global,Corporate/HQ,Operating,Working capital movement,Credit
2020-GEN,202000,Accrued Liabilities - Utilities,Liabilities,Current Liabilities,Accrued Expenses,Global,Corporate/HQ,Operating,Working capital movement,Credit
2030-GEN,203000,Accrued Professional Fees,Liabilities,Current Liabilities,Accrued Expenses,Global,Corporate/HQ,Operating,Working capital movement,Credit
2100-GEN,210000,Salaries and Wages Payable,Liabilities,Current Liabilities,Payroll Liabilities,Global,Corporate/HQ,Operating,Payroll and people costs,Credit
2110-GEN,211000,Employee Benefits Payable,Liabilities,Current Liabilities,Payroll Liabilities,Global,Corporate/HQ,Operating,Payroll and people costs,Credit
2120-GEN,212000,Payroll Taxes Payable,Liabilities,Current Liabilities,Payroll Liabilities,Global,Corporate/HQ,Operating,Payroll and people costs,Credit
2200-GEN,220000,Sales Tax Payable (VAT/GST),Liabilities,Current Liabilities,Tax Liabilities,Global,Corporate/HQ,Operating,Tax payments and accruals,Credit
2210-GEN,221000,Corporate Income Tax Payable,Liabilities,Current Liabilities,Tax Liabilities,Global,Corporate/HQ,Operating,Tax payments and accruals,Credit
2300-GEN,230000,Short-term Bank Loans,Liabilities,Current Liabilities,Short-term Debt,Global,Corporate/HQ,Financing,Loan proceeds and repayments,Credit
2310-GEN,231000,Current Portion of Long-term Debt,Liabilities,Current Liabilities,Short-term Debt,Global,Corporate/HQ,Operating,Working capital movement,Credit
2400-GEN,240000,Deferred / Unearned Revenue,Liabilities,Current Liabilities,Deferred Revenue,Global,Corporate/HQ,Operating,Working capital movement,Credit
2510-GEN,251000,Long-term Bank Loans,Liabilities,Non-Current Liabilities,Long-term Debt,Global,Corporate/HQ,Financing,Loan proceeds and repayments,Credit
2520-GEN,252000,Bonds Payable,Liabilities,Non-Current Liabilities,Long-term Debt,Global,Corporate/HQ,Operating,Working capital movement,Credit
2600-GEN,260000,Deferred Tax Liabilities,Liabilities,Non-Current Liabilities,Other Long-term Liabilities,Global,Corporate/HQ,Operating,Tax payments and accruals,Credit
3010-GEN,301000,Common Stock,Equity,Shareholders Equity,Paid-in Capital,Global,Corporate/HQ,Financing,Equity financing,Credit
3020-GEN,302000,Preferred Stock,Equity,Shareholders Equity,Paid-in Capital,Global,Corporate/HQ,Financing,Equity financing,Credit
3030-GEN,303000,Additional Paid-in Capital,Equity,Shareholders Equity,Paid-in Capital,Global,Corporate/HQ,Financing,Equity financing,Credit
3100-GEN,310000,Retained Earnings - Opening Balance,Equity,Shareholders Equity,Retained Earnings,Global,Corporate/HQ,Financing,Equity financing,Credit
3200-GEN,320000,Current Year Earnings,Equity,Shareholders Equity,Retained Earnings,Global,Corporate/HQ,Financing,Equity financing,Credit
3300-GEN,330000,Dividends Paid,Equity,Shareholders Equity,Retained Earnings,Global,Corporate/HQ,Financing,Equity financing,Credit
