TransactionID,Date,AccountNumber,Description,Amount,Type
TX-10249,01/01/2025,601010,Journal Entry - Tx 10249 Line 1,9882.02,Debit
TX-10249,01/01/2025,390000,Journal Entry - Tx 10249 Line 2,-9882.02,Credit
TX-10470,01/01/2025,102001,Journal Entry - Tx 10470 Line 1,9241.4,Debit
TX-10470,01/01/2025,401000,Journal Entry - Tx 10470 Line 2,-9241.4,Credit
TX-10096,02/01/2025,102001,Journal Entry - Tx 10096 Line 1,5036.67,Debit
TX-10096,02/01/2025,402000,Journal Entry - Tx 10096 Line 2,-5036.67,Credit
TX-10264,02/01/2025,110000,Journal Entry - Tx 10264 Line 1,4278.44,Debit
TX-10264,02/01/2025,401000,Journal Entry - Tx 10264 Line 2,-4278.44,Credit
TX-10387,04/01/2025,102001,Journal Entry - Tx 10387 Line 1,3106.13,Debit
TX-10387,04/01/2025,210000,Journal Entry - Tx 10387 Line 2,-3106.13,Credit
TX-10067,08/01/2025,102001,Journal Entry - Tx 10067 Line 1,14536.49,Debit
TX-10067,08/01/2025,210000,Journal Entry - Tx 10067 Line 2,-14536.49,Credit
TX-10209,08/01/2025,102001,Journal Entry - Tx 10209 Line 1,10634.88,Debit
TX-10209,08/01/2025,301000,Journal Entry - Tx 10209 Line 2,-10634.88,Credit
TX-10256,08/01/2025,101000,Journal Entry - Tx 10256 Line 1,8306.16,Debit
TX-10256,08/01/2025,210000,Journal Entry - Tx 10256 Line 2,-8306.16,Credit
TX-10476,09/01/2025,101000,Journal Entry - Tx 10476 Line 1,5388.55,Debit
TX-10476,09/01/2025,301000,Journal Entry - Tx 10476 Line 2,-5388.55,Credit
TX-10169,10/01/2025,101000,Journal Entry - Tx 10169 Line 1,11247.91,Debit
TX-10169,10/01/2025,301000,Journal Entry - Tx 10169 Line 2,-11247.91,Credit
TX-10393,10/01/2025,101000,Journal Entry - Tx 10393 Line 1,6923.33,Debit
TX-10393,10/01/2025,301000,Journal Entry - Tx 10393 Line 2,-6923.33,Credit
TX-10053,11/01/2025,102001,Journal Entry - Tx 10053 Line 1,8845.22,Debit
TX-10053,11/01/2025,401000,Journal Entry - Tx 10053 Line 2,-8845.22,Credit
TX-10239,11/01/2025,610000,Journal Entry - Tx 10239 Line 1,14993.61,Debit
TX-10239,11/01/2025,301000,Journal Entry - Tx 10239 Line 2,-14993.61,Credit
TX-10396,11/01/2025,102001,Journal Entry - Tx 10396 Line 1,14494.69,Debit
TX-10396,11/01/2025,401000,Journal Entry - Tx 10396 Line 2,-14494.69,Credit
TX-10474,11/01/2025,501000,Journal Entry - Tx 10474 Line 1,5887.28,Debit
TX-10474,11/01/2025,201000,Journal Entry - Tx 10474 Line 2,-5887.28,Credit
TX-10112,13/01/2025,501000,Journal Entry - Tx 10112 Line 1,9917.5,Debit
TX-10112,13/01/2025,301000,Journal Entry - Tx 10112 Line 2,-9917.5,Credit
TX-10318,13/01/2025,601010,Journal Entry - Tx 10318 Line 1,9312.23,Debit
TX-10318,13/01/2025,301000,Journal Entry - Tx 10318 Line 2,-9312.23,Credit
TX-10371,14/01/2025,610000,Journal Entry - Tx 10371 Line 1,9154.47,Debit
TX-10371,14/01/2025,402000,Journal Entry - Tx 10371 Line 2,-9154.47,Credit
TX-10192,15/01/2025,110000,Journal Entry - Tx 10192 Line 1,7439.88,Debit
TX-10192,15/01/2025,210000,Journal Entry - Tx 10192 Line 2,-7439.88,Credit
TX-10171,16/01/2025,102001,Journal Entry - Tx 10171 Line 1,14246.7,Debit
TX-10171,16/01/2025,201000,Journal Entry - Tx 10171 Line 2,-14246.7,Credit
TX-10376,16/01/2025,601010,Journal Entry - Tx 10376 Line 1,1421.78,Debit
TX-10376,16/01/2025,210000,Journal Entry - Tx 10376 Line 2,-1421.78,Credit
TX-10025,17/01/2025,501000,Journal Entry - Tx 10025 Line 1,12085.43,Debit
TX-10025,17/01/2025,301000,Journal Entry - Tx 10025 Line 2,-12085.43,Credit
TX-10280,19/01/2025,102001,Journal Entry - Tx 10280 Line 1,9281.02,Debit
TX-10280,19/01/2025,402000,Journal Entry - Tx 10280 Line 2,-9281.02,Credit
TX-10460,20/01/2025,501000,Journal Entry - Tx 10460 Line 1,4338.85,Debit
TX-10460,20/01/2025,402000,Journal Entry - Tx 10460 Line 2,-4338.85,Credit
TX-10120,23/01/2025,101000,Journal Entry - Tx 10120 Line 1,10646.34,Debit
TX-10120,23/01/2025,401000,Journal Entry - Tx 10120 Line 2,-10646.34,Credit
TX-10479,23/01/2025,110000,Journal Entry - Tx 10479 Line 1,5316.87,Debit
TX-10479,23/01/2025,402000,Journal Entry - Tx 10479 Line 2,-5316.87,Credit
TX-10016,24/01/2025,110000,Journal Entry - Tx 10016 Line 1,9935.89,Debit
TX-10016,24/01/2025,201000,Journal Entry - Tx 10016 Line 2,-9935.89,Credit
TX-10210,24/01/2025,601010,Journal Entry - Tx 10210 Line 1,14615.71,Debit
TX-10210,24/01/2025,301000,Journal Entry - Tx 10210 Line 2,-14615.71,Credit
TX-10386,24/01/2025,601010,Journal Entry - Tx 10386 Line 1,3346.75,Debit
TX-10386,24/01/2025,201000,Journal Entry - Tx 10386 Line 2,-3346.75,Credit
TX-10075,26/01/2025,601010,Journal Entry - Tx 10075 Line 1,8783.46,Debit
TX-10075,26/01/2025,401000,Journal Entry - Tx 10075 Line 2,-8783.46,Credit
TX-10166,26/01/2025,110000,Journal Entry - Tx 10166 Line 1,3939.34,Debit
TX-10166,26/01/2025,210000,Journal Entry - Tx 10166 Line 2,-3939.34,Credit
TX-10214,27/01/2025,501000,Journal Entry - Tx 10214 Line 1,3824.55,Debit
TX-10214,27/01/2025,201000,Journal Entry - Tx 10214 Line 2,-3824.55,Credit
TX-10252,27/01/2025,601010,Journal Entry - Tx 10252 Line 1,3093.2,Debit
TX-10252,27/01/2025,210000,Journal Entry - Tx 10252 Line 2,-3093.2,Credit
TX-10365,27/01/2025,601010,Journal Entry - Tx 10365 Line 1,14527.56,Debit
TX-10365,27/01/2025,301000,Journal Entry - Tx 10365 Line 2,-14527.56,Credit
TX-10061,28/01/2025,610000,Journal Entry - Tx 10061 Line 1,10116.8,Debit
TX-10061,28/01/2025,201000,Journal Entry - Tx 10061 Line 2,-10116.8,Credit
TX-10412,29/01/2025,101000,Journal Entry - Tx 10412 Line 1,5311.54,Debit
TX-10412,29/01/2025,301000,Journal Entry - Tx 10412 Line 2,-5311.54,Credit
TX-10045,30/01/2025,601010,Journal Entry - Tx 10045 Line 1,3651.03,Debit
TX-10045,30/01/2025,201000,Journal Entry - Tx 10045 Line 2,-3651.03,Credit
TX-10055,31/01/2025,101000,Journal Entry - Tx 10055 Line 1,3472.68,Debit
TX-10055,31/01/2025,301000,Journal Entry - Tx 10055 Line 2,-3472.68,Credit
TX-10069,31/01/2025,101000,Journal Entry - Tx 10069 Line 1,2511.32,Debit
TX-10069,31/01/2025,390000,Journal Entry - Tx 10069 Line 2,-2511.32,Credit
TX-10062,01/02/2025,110000,Journal Entry - Tx 10062 Line 1,6069.19,Debit
TX-10062,01/02/2025,201000,Journal Entry - Tx 10062 Line 2,-6069.19,Credit
TX-10155,01/02/2025,501000,Journal Entry - Tx 10155 Line 1,3142.17,Debit
TX-10155,01/02/2025,390000,Journal Entry - Tx 10155 Line 2,-3142.17,Credit
TX-10331,01/02/2025,102001,Journal Entry - Tx 10331 Line 1,6002.19,Debit
TX-10331,01/02/2025,201000,Journal Entry - Tx 10331 Line 2,-6002.19,Credit
TX-10344,02/02/2025,110000,Journal Entry - Tx 10344 Line 1,7169.88,Debit
TX-10344,02/02/2025,401000,Journal Entry - Tx 10344 Line 2,-7169.88,Credit
TX-10467,02/02/2025,501000,Journal Entry - Tx 10467 Line 1,1707.33,Debit
TX-10467,02/02/2025,401000,Journal Entry - Tx 10467 Line 2,-1707.33,Credit
TX-10482,02/02/2025,501000,Journal Entry - Tx 10482 Line 1,10754.87,Debit
TX-10482,02/02/2025,201000,Journal Entry - Tx 10482 Line 2,-10754.87,Credit
TX-10026,03/02/2025,601010,Journal Entry - Tx 10026 Line 1,3204.19,Debit
TX-10026,03/02/2025,402000,Journal Entry - Tx 10026 Line 2,-3204.19,Credit
TX-10215,03/02/2025,101000,Journal Entry - Tx 10215 Line 1,6040.58,Debit
TX-10215,03/02/2025,401000,Journal Entry - Tx 10215 Line 2,-6040.58,Credit
TX-10183,05/02/2025,110000,Journal Entry - Tx 10183 Line 1,7614.11,Debit
TX-10183,05/02/2025,201000,Journal Entry - Tx 10183 Line 2,-7614.11,Credit
TX-10056,06/02/2025,110000,Journal Entry - Tx 10056 Line 1,7736.63,Debit
TX-10056,06/02/2025,402000,Journal Entry - Tx 10056 Line 2,-7736.63,Credit
TX-10084,07/02/2025,601010,Journal Entry - Tx 10084 Line 1,189.27,Debit
TX-10084,07/02/2025,401000,Journal Entry - Tx 10084 Line 2,-189.27,Credit
TX-10099,08/02/2025,610000,Journal Entry - Tx 10099 Line 1,14178.51,Debit
TX-10099,08/02/2025,210000,Journal Entry - Tx 10099 Line 2,-14178.51,Credit
TX-10225,08/02/2025,501000,Journal Entry - Tx 10225 Line 1,2390.16,Debit
TX-10225,08/02/2025,390000,Journal Entry - Tx 10225 Line 2,-2390.16,Credit
TX-10276,08/02/2025,110000,Journal Entry - Tx 10276 Line 1,7068.88,Debit
TX-10276,08/02/2025,301000,Journal Entry - Tx 10276 Line 2,-7068.88,Credit
TX-10438,09/02/2025,101000,Journal Entry - Tx 10438 Line 1,4472.09,Debit
TX-10438,09/02/2025,401000,Journal Entry - Tx 10438 Line 2,-4472.09,Credit
TX-10224,11/02/2025,102001,Journal Entry - Tx 10224 Line 1,2398,Debit
TX-10224,11/02/2025,401000,Journal Entry - Tx 10224 Line 2,-2398,Credit
TX-10236,11/02/2025,501000,Journal Entry - Tx 10236 Line 1,8990.65,Debit
TX-10236,11/02/2025,402000,Journal Entry - Tx 10236 Line 2,-8990.65,Credit
