TransactionID,Date,AccountNumber,Description,Amount,Type
FY24-TX-10249,01/01/2024,601010,Journal Entry - Tx 10249 Line 1,8103.26,Debit
FY24-TX-10249,01/01/2024,390000,Journal Entry - Tx 10249 Line 2,-8103.26,Credit
FY24-TX-10470,01/01/2024,102001,Journal Entry - Tx 10470 Line 1,7577.95,Debit
FY24-TX-10470,01/01/2024,401000,Journal Entry - Tx 10470 Line 2,-7577.95,Credit
FY24-TX-10096,02/01/2024,102001,Journal Entry - Tx 10096 Line 1,4130.07,Debit
FY24-TX-10096,02/01/2024,402000,Journal Entry - Tx 10096 Line 2,-4130.07,Credit
FY24-TX-10264,02/01/2024,110000,Journal Entry - Tx 10264 Line 1,3508.32,Debit
FY24-TX-10264,02/01/2024,401000,Journal Entry - Tx 10264 Line 2,-3508.32,Credit
FY24-TX-10387,04/01/2024,102001,Journal Entry - Tx 10387 Line 1,2547.03,Debit
FY24-TX-10387,04/01/2024,210000,Journal Entry - Tx 10387 Line 2,-2547.03,Credit
FY24-TX-10067,08/01/2024,102001,Journal Entry - Tx 10067 Line 1,11919.92,Debit
FY24-TX-10067,08/01/2024,210000,Journal Entry - Tx 10067 Line 2,-11919.92,Credit
FY24-TX-10209,08/01/2024,102001,Journal Entry - Tx 10209 Line 1,8720.60,Debit
FY24-TX-10209,08/01/2024,301000,Journal Entry - Tx 10209 Line 2,-8720.60,Credit
FY24-TX-10256,08/01/2024,101000,Journal Entry - Tx 10256 Line 1,6811.05,Debit
FY24-TX-10256,08/01/2024,210000,Journal Entry - Tx 10256 Line 2,-6811.05,Credit
FY24-TX-10476,09/01/2024,101000,Journal Entry - Tx 10476 Line 1,4418.61,Debit
FY24-TX-10476,09/01/2024,301000,Journal Entry - Tx 10476 Line 2,-4418.61,Credit
FY24-TX-10169,10/01/2024,101000,Journal Entry - Tx 10169 Line 1,9223.29,Debit
FY24-TX-10169,10/01/2024,301000,Journal Entry - Tx 10169 Line 2,-9223.29,Credit
FY24-TX-10393,10/01/2024,101000,Journal Entry - Tx 10393 Line 1,5677.13,Debit
FY24-TX-10393,10/01/2024,301000,Journal Entry - Tx 10393 Line 2,-5677.13,Credit
FY24-TX-10053,11/01/2024,102001,Journal Entry - Tx 10053 Line 1,7253.08,Debit
FY24-TX-10053,11/01/2024,401000,Journal Entry - Tx 10053 Line 2,-7253.08,Credit
FY24-TX-10239,11/01/2024,610000,Journal Entry - Tx 10239 Line 1,12294.76,Debit
FY24-TX-10239,11/01/2024,301000,Journal Entry - Tx 10239 Line 2,-12294.76,Credit
FY24-TX-10396,11/01/2024,102001,Journal Entry - Tx 10396 Line 1,11885.65,Debit
FY24-TX-10396,11/01/2024,401000,Journal Entry - Tx 10396 Line 2,-11885.65,Credit
FY24-TX-10474,11/01/2024,501000,Journal Entry - Tx 10474 Line 1,4827.57,Debit
FY24-TX-10474,11/01/2024,201000,Journal Entry - Tx 10474 Line 2,-4827.57,Credit
FY24-TX-10112,13/01/2024,501000,Journal Entry - Tx 10112 Line 1,8132.35,Debit
FY24-TX-10112,13/01/2024,301000,Journal Entry - Tx 10112 Line 2,-8132.35,Credit
FY24-TX-10318,13/01/2024,601010,Journal Entry - Tx 10318 Line 1,7636.03,Debit
FY24-TX-10318,13/01/2024,301000,Journal Entry - Tx 10318 Line 2,-7636.03,Credit
FY24-TX-10371,14/01/2024,610000,Journal Entry - Tx 10371 Line 1,7506.67,Debit
FY24-TX-10371,14/01/2024,402000,Journal Entry - Tx 10371 Line 2,-7506.67,Credit
FY24-TX-10192,15/01/2024,110000,Journal Entry - Tx 10192 Line 1,6100.70,Debit
FY24-TX-10192,15/01/2024,210000,Journal Entry - Tx 10192 Line 2,-6100.70,Credit
FY24-TX-10171,16/01/2024,102001,Journal Entry - Tx 10171 Line 1,11682.29,Debit
FY24-TX-10171,16/01/2024,201000,Journal Entry - Tx 10171 Line 2,-11682.29,Credit
FY24-TX-10376,16/01/2024,601010,Journal Entry - Tx 10376 Line 1,1165.86,Debit
FY24-TX-10376,16/01/2024,210000,Journal Entry - Tx 10376 Line 2,-1165.86,Credit
FY24-TX-10025,17/01/2024,501000,Journal Entry - Tx 10025 Line 1,9910.05,Debit
FY24-TX-10025,17/01/2024,301000,Journal Entry - Tx 10025 Line 2,-9910.05,Credit
FY24-TX-10280,19/01/2024,102001,Journal Entry - Tx 10280 Line 1,7610.44,Debit
FY24-TX-10280,19/01/2024,402000,Journal Entry - Tx 10280 Line 2,-7610.44,Credit
FY24-TX-10460,20/01/2024,501000,Journal Entry - Tx 10460 Line 1,3557.86,Debit
FY24-TX-10460,20/01/2024,402000,Journal Entry - Tx 10460 Line 2,-3557.86,Credit
FY24-TX-10120,23/01/2024,101000,Journal Entry - Tx 10120 Line 1,8730.00,Debit
FY24-TX-10120,23/01/2024,401000,Journal Entry - Tx 10120 Line 2,-8730.00,Credit
FY24-TX-10479,23/01/2024,110000,Journal Entry - Tx 10479 Line 1,4359.83,Debit
FY24-TX-10479,23/01/2024,402000,Journal Entry - Tx 10479 Line 2,-4359.83,Credit
FY24-TX-10016,24/01/2024,110000,Journal Entry - Tx 10016 Line 1,8147.43,Debit
FY24-TX-10016,24/01/2024,201000,Journal Entry - Tx 10016 Line 2,-8147.43,Credit
FY24-TX-10210,24/01/2024,601010,Journal Entry - Tx 10210 Line 1,11984.88,Debit
FY24-TX-10210,24/01/2024,301000,Journal Entry - Tx 10210 Line 2,-11984.88,Credit
FY24-TX-10386,24/01/2024,601010,Journal Entry - Tx 10386 Line 1,2744.34,Debit
FY24-TX-10386,24/01/2024,201000,Journal Entry - Tx 10386 Line 2,-2744.34,Credit
FY24-TX-10075,26/01/2024,601010,Journal Entry - Tx 10075 Line 1,7202.44,Debit
FY24-TX-10075,26/01/2024,401000,Journal Entry - Tx 10075 Line 2,-7202.44,Credit
FY24-TX-10166,26/01/2024,110000,Journal Entry - Tx 10166 Line 1,3230.26,Debit
FY24-TX-10166,26/01/2024,210000,Journal Entry - Tx 10166 Line 2,-3230.26,Credit
FY24-TX-10214,27/01/2024,501000,Journal Entry - Tx 10214 Line 1,3136.13,Debit
FY24-TX-10214,27/01/2024,201000,Journal Entry - Tx 10214 Line 2,-3136.13,Credit
FY24-TX-10252,27/01/2024,601010,Journal Entry - Tx 10252 Line 1,2536.42,Debit
FY24-TX-10252,27/01/2024,210000,Journal Entry - Tx 10252 Line 2,-2536.42,Credit
FY24-TX-10365,27/01/2024,601010,Journal Entry - Tx 10365 Line 1,11912.60,Debit
FY24-TX-10365,27/01/2024,301000,Journal Entry - Tx 10365 Line 2,-11912.60,Credit
FY24-TX-10061,28/01/2024,610000,Journal Entry - Tx 10061 Line 1,8295.78,Debit
FY24-TX-10061,28/01/2024,201000,Journal Entry - Tx 10061 Line 2,-8295.78,Credit
FY24-TX-10412,29/01/2024,101000,Journal Entry - Tx 10412 Line 1,4355.46,Debit
FY24-TX-10412,29/01/2024,301000,Journal Entry - Tx 10412 Line 2,-4355.46,Credit
FY24-TX-10045,30/01/2024,601010,Journal Entry - Tx 10045 Line 1,2993.84,Debit
FY24-TX-10045,30/01/2024,201000,Journal Entry - Tx 10045 Line 2,-2993.84,Credit
FY24-TX-10055,31/01/2024,101000,Journal Entry - Tx 10055 Line 1,2847.60,Debit
FY24-TX-10055,31/01/2024,301000,Journal Entry - Tx 10055 Line 2,-2847.60,Credit
FY24-TX-10069,31/01/2024,101000,Journal Entry - Tx 10069 Line 1,2059.28,Debit
FY24-TX-10069,31/01/2024,390000,Journal Entry - Tx 10069 Line 2,-2059.28,Credit
FY24-TX-10062,01/02/2024,110000,Journal Entry - Tx 10062 Line 1,4976.74,Debit
FY24-TX-10062,01/02/2024,201000,Journal Entry - Tx 10062 Line 2,-4976.74,Credit
